algo,env,step,mean_reward,std_reward,checkpoint
a2c,ALE/Pong-v5,100000,-21.0,0.0,models/a2c_10m_Pong_v5/a2c_100000_steps.zip
a2c,ALE/Pong-v5,1000000,-19.85,1.06,models/a2c_10m_Pong_v5/a2c_1000000_steps.zip
a2c,ALE/Pong-v5,2000000,-17.45,1.94,models/a2c_10m_Pong_v5/a2c_2000000_steps.zip
a2c,ALE/Pong-v5,5000000,-12.5,3.15,models/a2c_10m_Pong_v5/a2c_5000000_steps.zip
a2c,ALE/Pong-v5,7000000,-15.4,2.35,models/a2c_10m_Pong_v5/a2c_7000000_steps.zip
a2c,ALE/Pong-v5,10000000,-8.4,6.22,models/a2c_10m_Pong_v5/a2c_10000000_steps.zip
a2c,ALE/Pong-v5,final,-9.4,3.58,models/a2c_10m_Pong_v5/a2c_final.zip
a2c,ALE/SpaceInvaders-v5,100000,363.5,213.11,models/a2c_si_default_SpaceInvaders_v5/a2c_100000_steps.zip
a2c,ALE/SpaceInvaders-v5,500000,410.75,133.67,models/a2c_si_default_SpaceInvaders_v5/a2c_500000_steps.zip
a2c,ALE/SpaceInvaders-v5,1000000,319.25,143.11,models/a2c_si_default_SpaceInvaders_v5/a2c_1000000_steps.zip
a2c,ALE/SpaceInvaders-v5,2000000,520.25,147.44,models/a2c_si_default_SpaceInvaders_v5/a2c_2000000_steps.zip
a2c,ALE/SpaceInvaders-v5,5000000,612.75,209.97,models/a2c_si_default_SpaceInvaders_v5/a2c_5000000_steps.zip
a2c,ALE/SpaceInvaders-v5,final,914.25,370.27,models/a2c_si_default_SpaceInvaders_v5/a2c_final.zip
dqn,ALE/Pong-v5,100000,-20.95,0.22,models/dqn_10m_Pong_v5/dqn_100000_steps.zip
dqn,ALE/Pong-v5,1000000,-16.2,2.2,models/dqn_10m_Pong_v5/dqn_1000000_steps.zip
dqn,ALE/Pong-v5,2000000,-6.0,6.21,models/dqn_10m_Pong_v5/dqn_2000000_steps.zip
dqn,ALE/Pong-v5,5000000,5.25,4.66,models/dqn_10m_Pong_v5/dqn_5000000_steps.zip
dqn,ALE/Pong-v5,7000000,7.8,5.7,models/dqn_10m_Pong_v5/dqn_7000000_steps.zip
dqn,ALE/Pong-v5,10000000,9.2,4.69,models/dqn_10m_Pong_v5/dqn_10000000_steps.zip
dqn,ALE/Pong-v5,final,8.65,4.61,models/dqn_10m_Pong_v5/dqn_final.zip
dqn,ALE/SpaceInvaders-v5,100000,217.0,122.9,models/dqn_si_default_SpaceInvaders_v5/dqn_100000_steps.zip
dqn,ALE/SpaceInvaders-v5,500000,365.25,127.41,models/dqn_si_default_SpaceInvaders_v5/dqn_500000_steps.zip
dqn,ALE/SpaceInvaders-v5,1000000,463.75,151.99,models/dqn_si_default_SpaceInvaders_v5/dqn_1000000_steps.zip
dqn,ALE/SpaceInvaders-v5,2000000,600.0,167.38,models/dqn_si_default_SpaceInvaders_v5/dqn_2000000_steps.zip
dqn,ALE/SpaceInvaders-v5,5000000,897.0,291.49,models/dqn_si_default_SpaceInvaders_v5/dqn_5000000_steps.zip
dqn,ALE/SpaceInvaders-v5,final,1064.5,484.8,models/dqn_si_default_SpaceInvaders_v5/dqn_final.zip
ppo,ALE/Pong-v5,100000,-21.0,0.0,models/ppo_10m_Pong_v5/ppo_100000_steps.zip
ppo,ALE/Pong-v5,1000000,-18.75,1.97,models/ppo_10m_Pong_v5/ppo_1000000_steps.zip
ppo,ALE/Pong-v5,2000000,-16.05,2.82,models/ppo_10m_Pong_v5/ppo_2000000_steps.zip
ppo,ALE/Pong-v5,5000000,-7.1,4.45,models/ppo_10m_Pong_v5/ppo_5000000_steps.zip
ppo,ALE/Pong-v5,7000000,-7.25,5.67,models/ppo_10m_Pong_v5/ppo_7000000_steps.zip
ppo,ALE/Pong-v5,10000000,-3.1,6.27,models/ppo_10m_Pong_v5/ppo_10000000_steps.zip
ppo,ALE/Pong-v5,final,-4.05,6.01,models/ppo_10m_Pong_v5/ppo_final.zip
ppo,ALE/SpaceInvaders-v5,100000,141.75,39.73,models/ppo_si_default_SpaceInvaders_v5/ppo_100000_steps.zip
ppo,ALE/SpaceInvaders-v5,500000,540.0,171.44,models/ppo_si_default_SpaceInvaders_v5/ppo_500000_steps.zip
ppo,ALE/SpaceInvaders-v5,1000000,514.75,199.96,models/ppo_si_default_SpaceInvaders_v5/ppo_1000000_steps.zip
ppo,ALE/SpaceInvaders-v5,2000000,508.75,178.63,models/ppo_si_default_SpaceInvaders_v5/ppo_2000000_steps.zip
ppo,ALE/SpaceInvaders-v5,5000000,728.75,183.18,models/ppo_si_default_SpaceInvaders_v5/ppo_5000000_steps.zip
ppo,ALE/SpaceInvaders-v5,final,861.0,293.95,models/ppo_si_default_SpaceInvaders_v5/ppo_final.zip
